r:NaN g:NaN b:NaN
r:0.9111111 g:0.95604396 b:0.8626374
r:0.9111111 g:0.9010989 b:0.8681319
r:0.9777778 g:0.9230769 b:0.9945055
r:1.0 g:0.95604396 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:0.99115044 b:0.99579835
r:0.99122804 g:0.99115044 b:0.99159664
r:0.9736842 g:0.9734513 b:0.987395
r:0.98245615 g:0.9557522 b:0.9789916
r:0.98245615 g:0.96460176 b:0.99159664
r:0.99122804 g:0.9823009 b:1.0
r:0.99122804 g:0.9823009 b:1.0
r:0.99122804 g:0.9734513 b:0.99579835
r:0.9736842 g:0.96460176 b:0.99159664
r:0.9736842 g:0.9734513 b:0.99159664
r:0.99122804 g:0.9823009 b:0.99579835
r:1.0 g:0.9823009 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:1.0 g:0.99115044 b:1.0
r:0.98275864 g:0.99115044 b:1.0
r:0.9913793 g:1.0 b:1.0
r:1.0 g:1.0 b:0.99583334
r:0.98275864 g:0.99122804 b:0.99583334
r:0.98275864 g:0.98245615 b:0.99583334
r:1.0 g:1.0 b:1.0
r:0.9913793 g:1.0 b:1.0
r:1.0 g:0.99122804 b:1.0
r:0.98275864 g:0.99122804 b:0.98760325
r:0.9913793 g:0.99122804 b:0.99173546
r:0.9913793 g:0.98245615 b:0.99173546
r:0.98275864 g:0.98245615 b:0.99173546
r:1.0 g:1.0 b:0.99173546
r:0.9913793 g:0.98245615 b:0.99173546
r:0.9913793 g:0.99122804 b:1.0
r:0.98275864 g:0.99122804 b:0.98760325
r:0.9913793 g:1.0 b:0.9958677
r:0.9913793 g:0.99122804 b:0.98760325
r:0.9913793 g:0.99122804 b:0.98347104
r:0.9655172 g:0.95614034 b:0.9669421
r:0.9396552 g:0.9298246 b:0.95867765
r:0.9396552 g:0.9385965 b:0.9545454
r:0.9655172 g:0.9736842 b:0.97520655
r:0.98275864 g:0.9736842 b:0.97520655
r:0.98275864 g:0.99122804 b:0.97933877
r:0.9913793 g:1.0 b:0.98760325
r:0.9913793 g:1.0 b:0.9958677
r:1.0 g:1.0 b:0.9958677
r:1.0 g:0.9913793 b:1.0
r:0.9915254 g:1.0 b:1.0
r:0.9830508 g:0.982906 b:0.99176955
r:1.0 g:1.0 b:0.99588484
r:1.0 g:1.0 b:1.0
r:0.9915254 g:0.991453 b:1.0
r:0.9915254 g:1.0 b:1.0
r:0.9830508 g:0.982906 b:0.9835391
r:0.9745763 g:0.96581197 b:0.9794239
r:0.9661017 g:0.974359 b:0.9835391
r:0.9745763 g:0.974359 b:0.9794239
r:0.9661017 g:0.974359 b:0.9835391
r:0.9661017 g:0.974359 b:0.9835391
r:0.9745763 g:0.974359 b:0.9794239
r:0.9745763 g:0.982906 b:0.9794239
r:0.9745763 g:0.974359 b:0.97530866
